scenario,context,replay_variant,variant_mode,diagnostic_ablation,teacher_source,decision_ordinal,task_decision_ordinal,task_index,segment_id,task_id,source_line,current,goal,ready_time,candidate_next_nodes,safe_next_nodes,legacy_route_suffix,legacy_next,label_taxonomy,label_kind,label_next,hold_until_time,hold_duration,earliest_safe_time,earliest_hold_duration,earliest_safe_status,block_reason,block_reason_detail,label_source,post_label_safe,teacher_finish_time,branch_or_linear,fault_state,repair_state,merge_state,buffer_state,executed_kind,executed_next,edge_start,edge_end,node_start,node_end,terminal_reason,reroute_attempted,sipp_repair_attempted,g4a_primary_eligible
legacy_first16_buffer2,buffer_capacity,reroute_from_current_legacy,reroute,False,python_faithful_legacy_astar_wait_horizon_audit,123,16,10,10:storage_in,10,12,27,47,10127.772939999999,28 45,,27 28 47,28,LEGACY_NEXT_TEMPORARILY_BLOCKED,hold,28,10128.772939999999,1.0,10128.506480000002,0.733540000002904,ok,edge_capacity,edge_capacity,shield_hold_after_blocked_legacy_next,True,10143.572939999998,branch,none,none,none,28:2;47:2,hold,27,,,10127.772939999999,10128.772939999999,,False,False,False
legacy_first16_buffer2,buffer_capacity,reroute_from_current_legacy,reroute,False,python_faithful_legacy_astar_wait_horizon_audit,144,3,14,14:storage_in,14,16,18,47,10679.68828,22,,18 22 24 27 28 47,22,LEGACY_NEXT_TEMPORARILY_BLOCKED,hold,22,10680.68828,1.0,10680.77885,1.090570000000298,ok,edge_capacity,edge_capacity,shield_hold_after_blocked_legacy_next,True,10718.88828,linear,none,none,none,28:2;47:2,hold,18,,,10679.68828,10680.68828,,False,False,False
legacy_first16_buffer2,buffer_capacity,reroute_from_current_legacy,reroute,False,python_faithful_legacy_astar_wait_horizon_audit,145,4,14,14:storage_in,14,16,18,47,10680.68828,22,,18 22 24 27 28 47,22,LEGACY_NEXT_TEMPORARILY_BLOCKED,hold,22,10681.68828,1.0,10680.77885,0.09057000000029802,ok,edge_capacity,edge_capacity,shield_hold_after_blocked_legacy_next,True,10719.88828,linear,none,none,none,28:2;47:2,hold,18,,,10680.68828,10681.68828,,False,False,False
legacy_first16_buffer2,buffer_capacity,reroute_from_current_legacy,reroute,False,python_faithful_legacy_astar_wait_horizon_audit,149,4,15,15:storage_in,15,17,18,47,10685.645400000001,22,,18 22 24 27 28 47,22,LEGACY_NEXT_TEMPORARILY_BLOCKED,hold,22,10686.645400000001,1.0,10690.08828,4.442879999998695,ok,edge_capacity,edge_capacity,shield_hold_after_blocked_legacy_next,True,10724.8454,linear,none,none,none,28:2;47:2,hold,18,,,10685.645400000001,10686.645400000001,,False,False,False
legacy_first16_buffer2,buffer_capacity,reroute_from_current_legacy,reroute,False,python_faithful_legacy_astar_wait_horizon_audit,151,5,15,15:storage_in,15,17,18,47,10686.645400000001,22,,18 22 24 27 28 47,22,LEGACY_NEXT_TEMPORARILY_BLOCKED,hold,22,10687.645400000001,1.0,10690.08828,3.442879999998695,ok,edge_capacity,edge_capacity,shield_hold_after_blocked_legacy_next,True,10725.8454,linear,none,none,none,28:2;47:2,hold,18,,,10686.645400000001,10687.645400000001,,False,False,False
legacy_first16_buffer2,buffer_capacity,reroute_from_current_legacy,reroute,False,python_faithful_legacy_astar_wait_horizon_audit,152,6,15,15:storage_in,15,17,18,47,10687.645400000001,22,,18 22 24 27 28 47,22,LEGACY_NEXT_TEMPORARILY_BLOCKED,hold,22,10688.645400000001,1.0,10690.08828,2.442879999998695,ok,edge_capacity,edge_capacity,shield_hold_after_blocked_legacy_next,True,10726.8454,linear,none,none,none,28:2;47:2,hold,18,,,10687.645400000001,10688.645400000001,,False,False,False
legacy_first16_buffer2,buffer_capacity,reroute_from_current_legacy,reroute,False,python_faithful_legacy_astar_wait_horizon_audit,153,7,15,15:storage_in,15,17,18,47,10688.645400000001,22,,18 22 24 27 28 47,22,LEGACY_NEXT_TEMPORARILY_BLOCKED,hold,22,10689.645400000001,1.0,10690.08828,1.442879999998695,ok,edge_capacity,edge_capacity,shield_hold_after_blocked_legacy_next,True,10727.8454,linear,none,none,none,28:2;47:2,hold,18,,,10688.645400000001,10689.645400000001,,False,False,False
legacy_first16_buffer2,buffer_capacity,reroute_from_current_legacy,reroute,False,python_faithful_legacy_astar_wait_horizon_audit,154,8,15,15:storage_in,15,17,18,47,10689.645400000001,22,,18 22 24 27 28 47,22,LEGACY_NEXT_TEMPORARILY_BLOCKED,hold,22,10690.645400000001,1.0,10690.08828,0.442879999998695,ok,edge_capacity,edge_capacity,shield_hold_after_blocked_legacy_next,True,10728.8454,linear,none,none,none,28:2;47:2,hold,18,,,10689.645400000001,10690.645400000001,,False,False,False
legacy_first32,no_fault,reroute_from_current_legacy,reroute,False,python_faithful_legacy_astar_wait_horizon_audit,15,3,2,2:storage_in,2,4,18,47,8882.216299,22,,18 22 24 27 28 47,22,LEGACY_NEXT_TEMPORARILY_BLOCKED,hold,22,8883.216299,1.0,8883.445453,1.2291540000005625,ok,edge_capacity,edge_capacity,shield_hold_after_blocked_legacy_next,True,8921.416298999999,linear,none,none,none,none,hold,18,,,8882.216299,8883.216299,,False,False,False
legacy_first32,no_fault,reroute_from_current_legacy,reroute,False,python_faithful_legacy_astar_wait_horizon_audit,17,4,2,2:storage_in,2,4,18,47,8883.216299,22,,18 22 24 27 28 47,22,LEGACY_NEXT_TEMPORARILY_BLOCKED,hold,22,8884.216299,1.0,8883.445453,0.22915400000056252,ok,edge_capacity,edge_capacity,shield_hold_after_blocked_legacy_next,True,8922.416298999999,linear,none,none,none,none,hold,18,,,8883.216299,8884.216299,,False,False,False
legacy_first32,no_fault,reroute_from_current_legacy,reroute,False,python_faithful_legacy_astar_wait_horizon_audit,21,4,3,3:storage_in,3,5,18,47,8889.800872000002,22,,18 22 24 27 28 47,22,LEGACY_NEXT_TEMPORARILY_BLOCKED,hold,22,8890.800872000002,1.0,8892.616299,2.815426999997726,ok,edge_capacity,edge_capacity,shield_hold_after_blocked_legacy_next,True,8929.000872,linear,none,none,none,none,hold,18,,,8889.800872000002,8890.800872000002,,False,False,False
legacy_first32,no_fault,reroute_from_current_legacy,reroute,False,python_faithful_legacy_astar_wait_horizon_audit,22,5,3,3:storage_in,3,5,18,47,8890.800872000002,22,,18 22 24 27 28 47,22,LEGACY_NEXT_TEMPORARILY_BLOCKED,hold,22,8891.800872000002,1.0,8892.616299,1.815426999997726,ok,edge_capacity,edge_capacity,shield_hold_after_blocked_legacy_next,True,8930.000872,linear,none,none,none,none,hold,18,,,8890.800872000002,8891.800872000002,,False,False,False
legacy_first32,no_fault,reroute_from_current_legacy,reroute,False,python_faithful_legacy_astar_wait_horizon_audit,23,6,3,3:storage_in,3,5,18,47,8891.800872000002,22,,18 22 24 27 28 47,22,LEGACY_NEXT_TEMPORARILY_BLOCKED,hold,22,8892.800872000002,1.0,8892.616299,0.8154269999977259,ok,edge_capacity,edge_capacity,shield_hold_after_blocked_legacy_next,True,8931.000872,linear,none,none,none,none,hold,18,,,8891.800872000002,8892.800872000002,,False,False,False
legacy_first32,no_fault,reroute_from_current_legacy,reroute,False,python_faithful_legacy_astar_wait_horizon_audit,47,3,5,5:storage_in,5,7,18,47,9477.815484,22,,18 22 24 27 28 47,22,LEGACY_NEXT_TEMPORARILY_BLOCKED,hold,22,9478.815484,1.0,9480.682986000002,2.867502000000968,ok,edge_capacity,edge_capacity,shield_hold_after_blocked_legacy_next,True,9517.015484,linear,none,none,none,none,hold,18,,,9477.815484,9478.815484,,False,False,False
legacy_first32,no_fault,reroute_from_current_legacy,reroute,False,python_faithful_legacy_astar_wait_horizon_audit,48,4,5,5:storage_in,5,7,18,47,9478.815484,22,,18 22 24 27 28 47,22,LEGACY_NEXT_TEMPORARILY_BLOCKED,hold,22,9479.815484,1.0,9480.682986000002,1.867502000000968,ok,edge_capacity,edge_capacity,shield_hold_after_blocked_legacy_next,True,9518.015484,linear,none,none,none,none,hold,18,,,9478.815484,9479.815484,,False,False,False
legacy_first32,no_fault,reroute_from_current_legacy,reroute,False,python_faithful_legacy_astar_wait_horizon_audit,49,5,5,5:storage_in,5,7,18,47,9479.815484,22,,18 22 24 27 28 47,22,LEGACY_NEXT_TEMPORARILY_BLOCKED,hold,22,9480.815484,1.0,9480.682986000002,0.8675020000009681,ok,edge_capacity,edge_capacity,shield_hold_after_blocked_legacy_next,True,9519.015484,linear,none,none,none,none,hold,18,,,9479.815484,9480.815484,,False,False,False
legacy_first32,no_fault,reroute_from_current_legacy,reroute,False,python_faithful_legacy_astar_wait_horizon_audit,83,3,10,10:storage_in,10,12,18,47,10094.37294,22,,18 22 24 27 28 47,22,LEGACY_NEXT_TEMPORARILY_BLOCKED,hold,22,10095.37294,1.0,10100.934140000001,6.561200000001918,ok,edge_capacity,edge_capacity,shield_hold_after_blocked_legacy_next,True,10133.572939999998,linear,none,none,none,none,hold,18,,,10094.37294,10095.37294,,False,False,False
legacy_first32,no_fault,reroute_from_current_legacy,reroute,False,python_faithful_legacy_astar_wait_horizon_audit,85,4,10,10:storage_in,10,12,18,47,10095.37294,22,,18 22 24 27 28 47,22,LEGACY_NEXT_TEMPORARILY_BLOCKED,hold,22,10096.37294,1.0,10100.934140000001,5.561200000001918,ok,edge_capacity,edge_capacity,shield_hold_after_blocked_legacy_next,True,10134.572939999998,linear,none,none,none,none,hold,18,,,10095.37294,10096.37294,,False,False,False
legacy_first32,no_fault,reroute_from_current_legacy,reroute,False,python_faithful_legacy_astar_wait_horizon_audit,86,5,10,10:storage_in,10,12,18,47,10096.37294,22,,18 22 24 27 28 47,22,LEGACY_NEXT_TEMPORARILY_BLOCKED,hold,22,10097.37294,1.0,10100.934140000001,4.561200000001918,ok,edge_capacity,edge_capacity,shield_hold_after_blocked_legacy_next,True,10135.572939999998,linear,none,none,none,none,hold,18,,,10096.37294,10097.37294,,False,False,False
legacy_first32,no_fault,reroute_from_current_legacy,reroute,False,python_faithful_legacy_astar_wait_horizon_audit,87,6,10,10:storage_in,10,12,18,47,10097.37294,22,,18 22 24 27 28 47,22,LEGACY_NEXT_TEMPORARILY_BLOCKED,hold,22,10098.37294,1.0,10100.934140000001,3.561200000001918,ok,edge_capacity,edge_capacity,shield_hold_after_blocked_legacy_next,True,10136.572939999998,linear,none,none,none,none,hold,18,,,10097.37294,10098.37294,,False,False,False
legacy_first32,no_fault,reroute_from_current_legacy,reroute,False,python_faithful_legacy_astar_wait_horizon_audit,89,7,10,10:storage_in,10,12,18,47,10098.37294,22,,18 22 24 27 28 47,22,LEGACY_NEXT_TEMPORARILY_BLOCKED,hold,22,10099.37294,1.0,10100.934140000001,2.561200000001918,ok,edge_capacity,edge_capacity,shield_hold_after_blocked_legacy_next,True,10137.572939999998,linear,none,none,none,none,hold,18,,,10098.37294,10099.37294,,False,False,False
legacy_first32,no_fault,reroute_from_current_legacy,reroute,False,python_faithful_legacy_astar_wait_horizon_audit,91,8,10,10:storage_in,10,12,18,47,10099.37294,22,,18 22 24 27 28 47,22,LEGACY_NEXT_TEMPORARILY_BLOCKED,hold,22,10100.37294,1.0,10100.934140000001,1.561200000001918,ok,edge_capacity,edge_capacity,shield_hold_after_blocked_legacy_next,True,10138.572939999998,linear,none,none,none,none,hold,18,,,10099.37294,10100.37294,,False,False,False
legacy_first32,no_fault,reroute_from_current_legacy,reroute,False,python_faithful_legacy_astar_wait_horizon_audit,92,9,10,10:storage_in,10,12,18,47,10100.37294,22,,18 22 24 27 28 47,22,LEGACY_NEXT_TEMPORARILY_BLOCKED,hold,22,10101.37294,1.0,10100.934140000001,0.5612000000019179,ok,edge_capacity,edge_capacity,shield_hold_after_blocked_legacy_next,True,10139.572939999998,linear,none,none,none,none,hold,18,,,10100.37294,10101.37294,,False,False,False
legacy_first32,no_fault,reroute_from_current_legacy,reroute,False,python_faithful_legacy_astar_wait_horizon_audit,105,7,8,8:storage_in,8,10,27,47,10113.706480000003,28 45,,27 28 47,28,LEGACY_NEXT_TEMPORARILY_BLOCKED,hold,28,10114.706480000003,1.0,10117.28213,3.57564999999704,ok,edge_capacity,edge_capacity,shield_hold_after_blocked_legacy_next,True,10129.506480000002,branch,none,none,none,none,hold,27,,,10113.706480000003,10114.706480000003,,False,False,False
legacy_first32,no_fault,reroute_from_current_legacy,reroute,False,python_faithful_legacy_astar_wait_horizon_audit,107,8,8,8:storage_in,8,10,27,47,10114.706480000003,28 45,,27 28 47,28,LEGACY_NEXT_TEMPORARILY_BLOCKED,hold,28,10115.706480000003,1.0,10117.28213,2.57564999999704,ok,edge_capacity,edge_capacity,shield_hold_after_blocked_legacy_next,True,10130.506480000002,branch,none,none,none,none,hold,27,,,10114.706480000003,10115.706480000003,,False,False,False
legacy_first32,no_fault,reroute_from_current_legacy,reroute,False,python_faithful_legacy_astar_wait_horizon_audit,108,9,8,8:storage_in,8,10,27,47,10115.706480000003,28 45,,27 28 47,28,LEGACY_NEXT_TEMPORARILY_BLOCKED,hold,28,10116.706480000003,1.0,10117.28213,1.5756499999970401,ok,edge_capacity,edge_capacity,shield_hold_after_blocked_legacy_next,True,10131.506480000002,branch,none,none,none,none,hold,27,,,10115.706480000003,10116.706480000003,,False,False,False
legacy_first32,no_fault,reroute_from_current_legacy,reroute,False,python_faithful_legacy_astar_wait_horizon_audit,110,10,8,8:storage_in,8,10,27,47,10116.706480000003,28 45,,27 28 47,28,LEGACY_NEXT_TEMPORARILY_BLOCKED,hold,28,10117.706480000003,1.0,10117.28213,0.5756499999970401,ok,edge_capacity,edge_capacity,shield_hold_after_blocked_legacy_next,True,10132.506480000002,branch,none,none,none,none,hold,27,,,10116.706480000003,10117.706480000003,,False,False,False
legacy_first32,no_fault,reroute_from_current_legacy,reroute,False,python_faithful_legacy_astar_wait_horizon_audit,117,12,10,10:storage_in,10,12,24,47,10122.172939999999,27,,24 27 28 47,27,LEGACY_NEXT_TEMPORARILY_BLOCKED,hold,27,10123.172939999999,1.0,10122.639820000002,0.46688000000358443,ok,edge_capacity,edge_capacity,shield_hold_after_blocked_legacy_next,True,10140.572939999998,linear,none,none,none,none,hold,24,,,10122.172939999999,10123.172939999999,,False,False,False
legacy_first32,no_fault,reroute_from_current_legacy,reroute,False,python_faithful_legacy_astar_wait_horizon_audit,119,8,11,11:storage_in,11,13,27,47,10123.639820000002,28 45,,27 28 47,28,LEGACY_NEXT_GLOBALLY_UNSAFE,hold,28,10124.639820000002,1.0,,,current_node_hold_conflict,edge_capacity,edge_capacity,shield_hold_after_blocked_legacy_next,True,10139.439820000001,branch,none,none,none,none,hold,27,,,10123.639820000002,10124.639820000002,,False,False,False
legacy_first32,no_fault,reroute_from_current_legacy,reroute,False,python_faithful_legacy_astar_wait_horizon_audit,120,9,11,11:storage_in,11,13,27,47,10124.639820000002,28 45,,27 28 47,28,ABSTAIN_NO_TEACHER,no_teacher,28,,0.0,,,current_node_hold_conflict,edge_capacity,edge_capacity,abstain_no_safe_hold,False,10140.439820000001,branch,none,none,none,none,unplanned,,,,,,edge_capacity,True,False,False
legacy_first32,no_fault,reroute_from_current_legacy,reroute,False,python_faithful_legacy_astar_wait_horizon_audit,121,14,10,10:storage_in,10,12,27,47,10125.772939999999,28 45,,27 28 47,28,LEGACY_NEXT_TEMPORARILY_BLOCKED,hold,28,10126.772939999999,1.0,10128.506480000002,2.733540000002904,ok,edge_capacity,edge_capacity,shield_hold_after_blocked_legacy_next,True,10141.572939999998,branch,none,none,none,none,hold,27,,,10125.772939999999,10126.772939999999,,False,False,False
legacy_first32,no_fault,reroute_from_current_legacy,reroute,False,python_faithful_legacy_astar_wait_horizon_audit,122,15,10,10:storage_in,10,12,27,47,10126.772939999999,28 45,,27 28 47,28,LEGACY_NEXT_TEMPORARILY_BLOCKED,hold,28,10127.772939999999,1.0,10128.506480000002,1.733540000002904,ok,edge_capacity,edge_capacity,shield_hold_after_blocked_legacy_next,True,10142.572939999998,branch,none,none,none,none,hold,27,,,10126.772939999999,10127.772939999999,,False,False,False
legacy_first32,no_fault,reroute_from_current_legacy,reroute,False,python_faithful_legacy_astar_wait_horizon_audit,123,16,10,10:storage_in,10,12,27,47,10127.772939999999,28 45,,27 28 47,28,LEGACY_NEXT_TEMPORARILY_BLOCKED,hold,28,10128.772939999999,1.0,10128.506480000002,0.733540000002904,ok,edge_capacity,edge_capacity,shield_hold_after_blocked_legacy_next,True,10143.572939999998,branch,none,none,none,none,hold,27,,,10127.772939999999,10128.772939999999,,False,False,False
legacy_first32,no_fault,reroute_from_current_legacy,reroute,False,python_faithful_legacy_astar_wait_horizon_audit,144,3,14,14:storage_in,14,16,18,47,10679.68828,22,,18 22 24 27 28 47,22,LEGACY_NEXT_TEMPORARILY_BLOCKED,hold,22,10680.68828,1.0,10680.77885,1.090570000000298,ok,edge_capacity,edge_capacity,shield_hold_after_blocked_legacy_next,True,10718.88828,linear,none,none,none,none,hold,18,,,10679.68828,10680.68828,,False,False,False
legacy_first32,no_fault,reroute_from_current_legacy,reroute,False,python_faithful_legacy_astar_wait_horizon_audit,145,4,14,14:storage_in,14,16,18,47,10680.68828,22,,18 22 24 27 28 47,22,LEGACY_NEXT_TEMPORARILY_BLOCKED,hold,22,10681.68828,1.0,10680.77885,0.09057000000029802,ok,edge_capacity,edge_capacity,shield_hold_after_blocked_legacy_next,True,10719.88828,linear,none,none,none,none,hold,18,,,10680.68828,10681.68828,,False,False,False
legacy_first32,no_fault,reroute_from_current_legacy,reroute,False,python_faithful_legacy_astar_wait_horizon_audit,153,4,15,15:storage_in,15,17,18,47,10685.645400000001,22,,18 22 24 27 28 47,22,LEGACY_NEXT_TEMPORARILY_BLOCKED,hold,22,10686.645400000001,1.0,10690.08828,4.442879999998695,ok,edge_capacity,edge_capacity,shield_hold_after_blocked_legacy_next,True,10724.8454,linear,none,none,none,none,hold,18,,,10685.645400000001,10686.645400000001,,False,False,False
legacy_first32,no_fault,reroute_from_current_legacy,reroute,False,python_faithful_legacy_astar_wait_horizon_audit,156,5,15,15:storage_in,15,17,18,47,10686.645400000001,22,,18 22 24 27 28 47,22,LEGACY_NEXT_TEMPORARILY_BLOCKED,hold,22,10687.645400000001,1.0,10690.08828,3.442879999998695,ok,edge_capacity,edge_capacity,shield_hold_after_blocked_legacy_next,True,10725.8454,linear,none,none,none,none,hold,18,,,10686.645400000001,10687.645400000001,,False,False,False
legacy_first32,no_fault,reroute_from_current_legacy,reroute,False,python_faithful_legacy_astar_wait_horizon_audit,158,6,15,15:storage_in,15,17,18,47,10687.645400000001,22,,18 22 24 27 28 47,22,LEGACY_NEXT_TEMPORARILY_BLOCKED,hold,22,10688.645400000001,1.0,10690.08828,2.442879999998695,ok,edge_capacity,edge_capacity,shield_hold_after_blocked_legacy_next,True,10726.8454,linear,none,none,none,none,hold,18,,,10687.645400000001,10688.645400000001,,False,False,False
legacy_first32,no_fault,reroute_from_current_legacy,reroute,False,python_faithful_legacy_astar_wait_horizon_audit,162,7,15,15:storage_in,15,17,18,47,10688.645400000001,22,,18 22 24 27 28 47,22,LEGACY_NEXT_GLOBALLY_UNSAFE,hold,22,10689.645400000001,1.0,,,current_node_hold_conflict,edge_capacity,edge_capacity,shield_hold_after_blocked_legacy_next,True,10727.8454,linear,none,none,none,none,hold,18,,,10688.645400000001,10689.645400000001,,False,False,False
legacy_first32,no_fault,reroute_from_current_legacy,reroute,False,python_faithful_legacy_astar_wait_horizon_audit,164,8,15,15:storage_in,15,17,18,47,10689.645400000001,22,,18 22 24 27 28 47,22,ABSTAIN_NO_TEACHER,no_teacher,22,,0.0,,,current_node_hold_conflict,edge_capacity,edge_capacity,abstain_no_safe_hold,False,10728.8454,linear,none,none,none,none,unplanned,,,,,,edge_capacity,True,False,False
legacy_first32,no_fault,reroute_from_current_legacy,reroute,False,python_faithful_legacy_astar_wait_horizon_audit,173,3,19,19:storage_in,19,21,8,47,10695.21115,11,,8 11 13 23 24 27 28 47,11,LEGACY_NEXT_TEMPORARILY_BLOCKED,hold,11,10696.21115,1.0,10695.67782,0.4666700000016135,ok,edge_capacity,edge_capacity,shield_hold_after_blocked_legacy_next,True,10736.811150000001,linear,none,none,none,none,hold,8,,,10695.21115,10696.21115,,False,False,False
